user_id,timestamp,review_text,rating
1,2025-03-01 21:34,"晚上飞直接撞墙了，避障一点用没有，后来才发现夜间不支持？？说明书谁会一字一句看啊，真服了。",1
2,2025-03-02 22:10,"室内飞一会就飘，GPS老丢，差点砸电视，还以为机器坏了，结果朋友说室内没GPS…早说啊。",1
3,2025-03-03 20:48,"新手第一次玩，起飞没几秒就失控，说明书写得跟论文一样，根本看不懂。",2
4,2025-03-04 23:05,"夜里飞发现避障失灵，吓死我了，原来是我自己没看清限制条件，体验真的不友好。",2
5,2025-03-05 19:22,"室内测试直接漂移，差评！后来查了才知道GPS问题，新手太不友好了。",1
6,2025-03-06 21:55,"说明书太简略了，很多坑都要自己踩一遍才知道，第一次飞体验很差。",2
7,2025-03-07 18:40,"标称续航45分钟，我飞20多分钟就开始狂报警，这是虚假宣传吧？？",1
8,2025-03-08 16:12,"图传不是说很远吗？我这还没飞多远就卡成PPT了，完全不是宣传那样。",1
9,2025-03-09 14:30,"续航缩水严重，根本达不到参数写的时间，感觉被忽悠了。",2
10,2025-03-10 17:05,"说好的超远距离图传，城市里飞根本不行，参数看看就好别当真。",2
11,2025-03-11 13:50,"续航数字水分太大，新手一飞就没电，心理落差巨大。",1
12,2025-03-12 15:18,"图传距离要在理想环境下吧？现实用起来差太多，宣传有点过了。",2
13,2025-03-13 11:26,"刚到手云台就一直抖，画面像地震，重启也没用，品控真不行。",1
14,2025-03-14 10:02,"按电源没反应，完全开不了机，怀疑是拿到坏的了。",1
15,2025-03-15 09:40,"云台校准失败，一直报错，新机就这样真的很闹心。",1
16,2025-03-16 08:55,"充满电也无法启动，按键没任何反馈，这质量对不起价格。",1
17,2025-03-17 12:00,"东西还行吧，但快递慢到离谱，等了一个多星期，体验全毁。",2
18,2025-03-18 14:44,"客服爱答不理，问个问题半天不回，服务太差了。",1
19,2025-03-19 16:30,"包装被压得不成样子，虽然机器没坏，但心情直接差评。",2
20,2025-03-20 18:10,"售后流程太麻烦了，来回踢皮球，买个无人机还要受气。",1
